Facility	Address	City	State	Zip	Score	Mismatch	Facility	Address	City	State	Zip
Southcentral Foundation Alaska Native Medical Center	4315 Diplomacy Drive	Anchorage	AK	99508	100		Alaska Native Medical Center	4315 Diplomacy Dr	Anchorage	AK	99508
South Peninsula Hospital	4300 Bartlett Street	Homer	AK	99603	100		South Peninsula Hospital	4300 Bartlett St	Homer	AK	99603
St Vincent Health System St Vincents Birmingham	810 Saint Vincents Drive	Birmingham	AL	35205	100		St Vincents Birmingham	810 Saint Vincents Dr	Birmingham	AL	35205
Community Health Systems Trinity Medical Center	800 Montclair Road	Birmingham	AL	35213	100		Trinity Medical Center	800 Montclair Rd	Birmingham	AL	35213
Community Health Systems Crestwood Medical Center	1 Hospital Drive	Huntsville	AL	35801	100		Crestwood Medical Center	1 Hospital Dr SW	Huntsville	AL	35801
Jackson Hospital	1725 Pine Street	Montgomery	AL	36106	100		Jackson Hospital	1725 Pine St	Montgomery	AL	36106
Community Health Systems Flowers Hospital	4370 West Main Street	Dothan	AL	36305	100		Flowers Hospital	4370 W Main St	Dothan	AL	36305
Providence Hospital	6801 Airport Boulevard PO Box 850429	Mobile	AL	36608	100		Providence Hospital	6801 Airport Blvd	Mobile	AL	36608
Saline Memorial Hospital	1 Medical Park Drive	Benton	AR	72015	100		Saline Memorial Hospital	1 Medical Park Dr	Benton	AR	72015
North Arkansas Regional Medical Center	620 North Main Street	Harrison	AR	72601	100		North Arkansas Regional Medical Cen	620 N Main St	Harrison	AR	72601
Health Management Associates Sparks Health System Sparks Regional Medical Center	1001 Towson Avenue	Fort Smith	AR	72901	100		Sparks Regional Medical Center	1001 Towson Ave	Fort Smith	AR	72901
Phoenix Indian Medical Center	4212 North 16th Street	Phoenix	AZ	85016	100		Phoenix Indian Medical Center	4212 N 16th St	Phoenix	AZ	85016
Yuma Regional Medical Center	2400 South Avenue A	Yuma	AZ	85364	100		Yuma Regional Medical Center	2400 S Avenue A	Yuma	AZ	85364
Vanguard Health Systems Abrazo Health West Valley Hospital	13677 West McDowell Road	Goodyear	AZ	85395	100		West Valley Hospital	13677 W McDowell Rd	Goodyear	AZ	85395
Cedars Sinai Medical Center	8700 Beverly Boulevard	Los Angeles	CA	90048	100		Cedars Sinai Medical Center	8700 Beverly Blvd	Los Angeles	CA	90048
Daughters of Charity Health System St Francis Medical Center	3630 East Imperial Highway	Lynwood	CA	90262	100		St Francis Medical Center	3630 E Imperial Hwy	Lynwood	CA	90262
Prime Healthcare Services Centinela Hospital Medical Center	555 East Hardy Street	Inglewood	CA	90301	100		Centinela Hospital Medical Center	555 E Hardy St	Inglewood	CA	90301
Dignity Health Glendale Memorial Hospital and Health Center	1420 South Central Avenue	Glendale	CA	91204	100		Glendale Memorial Hospital & Health	1420 S Central Ave	Glendale	CA	91204
Citrus Valley Health Partners Foothill Presbyterian Hospital	250 South Grand Avenue	Glendora	CA	91741	100		Foothill Presbyterian Hospital	250 S Grand Ave	Glendora	CA	91741
Scripps Health Scripps Mercy Hospital Chula Vista Campus	435 H Street	Chula Vista	CA	91910	100		Scripps Mercy Hospital-Chula Vista	435 H St	Chula Vista	CA	91910
Scripps Health Scripps Memorial Hospital La Jolla	9888 Genesee Avenue	La Jolla	CA	92037	100		Scripps Memorial Hospital - La Joll	9888 Genesee Ave	La Jolla	CA	92037
Arrowhead Regional Medical Center	400 North Pepper Avenue	Colton	CA	92324	100		Arrowhead Regional Medical Center	400 N Pepper Ave	Colton	CA	92324
Temecula Valley Hospital	31700 Temecula Parkway	Temecula	CA	92592	100		Temecula Valley Hospital	31700 Temecula Pkwy	Temecula	CA	92592
Prime Healthcare Services West Anaheim Medical Center	3033 West Orange Avenue	Anaheim	CA	92804	100		West Anaheim Medical Center	3033 W Orange Ave	Anaheim	CA	92804
Dignity Health St Johns Pleasant Valley Hospital	2309 Antonio Avenue	Camarillo	CA	93010	100		St Johns Pleasant Valley Hospital	2309 Antonio Ave	Camarillo	CA	93010
Sierra View District Hospital	465 West Putnam Avenue	Porterville	CA	93257	100		Sierra View District Hospital	465 W Putnam Ave	Porterville	CA	93257
Kern Medical Center	1700 Mount Vernon Avenue	Bakersfield	CA	93306	100		Kern Medical Center	1700 Mt Vernon Ave	Bakersfield	CA	93306
Dignity Health Marian Medical Center	1400 East Church Street	Santa Maria	CA	93454	100		Marian Medical Center	1400 E Church St	Santa Maria	CA	93454
Mammoth Hospital	85 Sierra Park Road PO Box 660	Mammoth Lakes	CA	93546	100		Mammoth Hospital	85 Sierra Park Rd	Mammoth Lakes	CA	93546
Chinese Hospital	845 Jackson Street	San Francisco	CA	94133	100		Chinese Hospital	845 Jackson St	San Francisco	CA	94133
St Rose Hospital	27200 Calaroga Avenue	Hayward	CA	94545	100		St Rose Hospital	27200 Calaroga Ave	Hayward	CA	94545
Sutter Health Network Sutter Solano Medical Center	300 Hospital Drive	Vallejo	CA	94589	100		Sutter Solano Medical Center	300 Hospital Dr	Vallejo	CA	94589
Regional Medical Center of San Jose	225 North Jackson Avenue	San Jose	CA	95116	100		Regional Medical Center of San Jose	225 N Jackson Ave	San Jose	CA	95116
Lodi Memorial Hospital	975 South Fairmont Avenue	Lodi	CA	95240	100		Lodi Health	975 S Fairmont Ave	Lodi	CA	95240
Dignity Health Mercy Medical Center Merced	333 Mercy Avenue	Merced	CA	95340	100		Mercy Medical Center Merced	333 Mercy Avenue	Merced	CA	95340
Sutter Health Network Sutter Medical Center of Santa Rosa	30 Mark West Springs Road	Santa Rosa	CA	95403	100		Sutter Medical Center of Santa Rosa	30 Mark West Springs Rd	Santa Rosa	CA	95403
Sutter Health Network Sutter Lakeside Hospital	5176 Hill Road East	Lakeport	CA	95453	100		Sutter Lakeside Hospital	5176 Hill Rd E	Lakeport	CA	95453
Mad River Community Hospital	3800 Janes Road	Arcata	CA	95521	100		Mad River Community Hospital	3800 Janes Rd	Arcata	CA	95521
Sutter Health Network Sutter Davis Hospital	2000 Sutter Place	Davis	CA	95616	100		Sutter Davis Hospital	2000 Sutter Pl	Davis	CA	95616
Dignity Health Mercy General Hospital	4001 J Street	Sacramento	CA	95819	100		Mercy General Hospital	4001 J St	Sacramento	CA	95819
Fremont Rideout Health Group Rideout Memorial Hospital	726 4th Street	Marysville	CA	95901	100		Rideout Memorial Hospital	726 4th St	Marysville	CA	95901
Dignity Health Sierra Nevada Memorial Hospital	155 Glasson Way	Grass Valley	CA	95945	100		Dignity Health Sierra Nevada Memori	155 Glasson Way	Grass Valley	CA	95945
Adventist Health Feather River Hospital	5974 Pentz Road	Paradise	CA	95969	100		Feather River Hospital	5974 Pentz Rd	Paradise	CA	95969
Denver Health Medical Center	777 Bannock Street	Denver	CO	80204	100		Denver Health Medical Center	777 Bannock St	Denver	CO	80204
Estes Park Medical Center	555 Prospect Avenue	Estes Park	CO	80517	100		Estes Park Medical Center	555 Prospect Ave	Estes Park	CO	80517
Memorial Health System Memorial Hospital North	4050 Briargate Parkway	Colorado Springs	CO	80920	100		Memorial Hospital North	4050 Briargate Pkwy	Colorado Springs	CO	80920
Heart of the Rockies Regional Medical Center	1000 Rush Drive PO Box 429	Salida	CO	81201	100		Heart of the Rockies Regional Medic	1000 Rush Dr	Salida	CO	81201
Gunnison Valley Hospital	711 North Taylor Street	Gunnison	CO	81230	100		Gunnison Valley Hospital	711 N Taylor St	Gunnison	CO	81230
Delta County Memorial Hospital	1501 East 3rd Street	Delta	CO	81416	100		Delta County Memorial Hospital	1501 E 3rd St	Delta	CO	81416
Bristol Hospital	41 Brewster Road	Bristol	CT	6010	100		Bristol Hospital	41 Brewster Rd	Bristol	CT	6010
Johnson Memorial Hospital	201 Chestnut Hill Road	Stafford Springs	CT	6076	100		Johnson Memorial Hospital	201 Chestnut Hill Rd	Stafford Springs	CT	6076
Lawrence and Memorial Hospital	365 Montauk Avenue	New London	CT	6320	100		Lawrence and Memorial Hospital	365 Montauk Ave	New London	CT	6320
Saint Marys Hospital	56 Franklin Street	Waterbury	CT	6706	100		Saint Marys Hospital	56 Franklin St	Waterbury	CT	6706
Charlotte Hungerford Hospital	540 Litchfield Street	Torrington	CT	6790	100		The Charlotte Hungerford Hospital	540 Litchfield St	Torrington	CT	6790
Childrens National Medical Center	111 Michigan Avenue Northwest	Washington	DC	20010	100		Childrens National Medical Center	111 Michigan Ave NW	Washington	DC	20010
Ascension Health Providence Hospital	1150 Varnum Street Northeast	Washington	DC	20017	100		Providence Hospital	1150 Varnum St NE	Washington	DC	20017
Catholic Health East St Francis Hospital	701 North Clayton Street	Wilmington	DE	19805	100		St Francis Hospital	701 N Clayton St	Wilmington	DE	19805
Baptist Health Baptist Medical Center Nassau	1250 South 18th Street	Fernandina Beach	FL	32034	100		Baptist Medical Center - Nassau	1250 S 18th St	Fernandina Beach	FL	32034
HCA Capital Regional Medical Center	2626 Capital Medical Boulevard	Tallahassee	FL	32308	100		Capital Regional Medical Center	2626 Capital Medical Blvd	Tallahassee	FL	32308
Baptist Health Care Baptist Hospital	1000 West Moreno Street PO Box 17500	Pensacola	FL	32501	100		Baptist Hospital	1000 W Moreno St	Pensacola	FL	32501
Baptist Health Care Gulf Breeze Hospital	1110 Gulf Breeze Parkway	Gulf Breeze	FL	32561	100		Gulf Breeze Hospital	1110 Gulf Breeze Pkwy	Gulf Breeze	FL	32561
Health First Viera Hospital	8745 North Wickham Road	Viera	FL	32940	100		Viera Hospital	8745 N Wickham Rd	Melbourne	FL	32940
Indian River Memorial Hospital	1000 36th Street	Vero Beach	FL	32960	100		Indian River Memorial Hospital	1000 36th St	Vero Beach	FL	32960
Memorial Healthcare System Memorial Hospital Pembroke	7800 Sheridan Street	Pembroke Pines	FL	33024	100		Memorial Hospital Pembroke	7800 Sheridan St	Hollywood	FL	33024
Memorial Healthcare System Memorial Hospital West	703 North Flamingo Road	Pembroke Pines	FL	33028	100		Memorial Hospital West	703 N Flamingo Rd	Pembroke Pines	FL	33028
Memorial Healthcare System Memorial Hospital Miramar	1901 Southwest 172nd Avenue	Miramar	FL	33029	100		Memorial Hospital Miramar	1901 SW 172nd Ave	Hollywood	FL	33029
Baptist Health South Florida Homestead Hospital	975 Baptist Way	Homestead	FL	33033	100		Homestead Hospital	975 Baptist Way	Homestead	FL	33033
Baptist Health South Florida Mariners Hospital	91500 Overseas Highway	Tavernier	FL	33070	100		Mariners Hospital	91500 Overseas Hwy	Tavernier	FL	33070
Baptist Health South Florida South Miami Hospital	6200 Southwest 73rd Street	Miami	FL	33143	100		South Miami Hospital	6200 SW 73rd St	Miami	FL	33143
Baptist Health South Florida Doctors Hospital	5000 University Drive	Coral Gables	FL	33146	100		Doctors Hospital	5000 University Dr	Miami	FL	33146
Broward Health Imperial Point Medical Center	6401 North Federal Highway	Fort Lauderdale	FL	33308	100		Imperial Point Medical Center	6401 N Federal Hwy	Fort Lauderdale	FL	33308
Bethesda Memorial Hospital	2815 South Seacrest Boulevard	Boynton Beach	FL	33435	100		Bethesda Memorial Hospital	2815 S Seacrest Blvd	Boynton Beach	FL	33435
BayCare Health System Winter Haven Hospital	200 Avenue F Northeast	Winter Haven	FL	33881	100		Winter Haven Hospital	200 Avenue F NE	Winter Haven	FL	33881
HCA West Florida Fawcett Memorial Hospital	21298 Olean Boulevard	Port Charlotte	FL	33952	100		Fawcett Memorial Hospital	21298 Olean Blvd	Port Charlotte	FL	33952
Universal Health Services Lakewood Ranch Medical Center	8330 Lakewood Ranch Boulevard	Bradenton	FL	34202	100		Lakewood Ranch Medical Center	8330 Lakewood Ranch Blvd	Bradenton	FL	34202
Health Management Associates Venice Regional Medical Center	540 The Rialto	Venice	FL	34285	100		Venice Regional Medical Center	540 The Rialto	Venice	FL	34285
HCA West Florida Regional Medical Center Bayonet Point	14000 Fivay Road	Hudson	FL	34667	100		Regional Medical Center Bayonet Poi	14000 Fivay Rd	Hudson	FL	34667
HCA TriStar Health Cartersville Medical Center	960 Joe Frank Harris Parkway Southeast	Cartersville	GA	30120	100		Cartersville Medical Center	960 Joe Frank Harris Pkwy	Cartersville	GA	30120
Union General Hospital	35 Hospital Road	Blairsville	GA	30512	100		Union General Hospital	35 Hospital Rd	Blairsville	GA	30512
University Health Care System University Hospital and the Heart and Vascular Institute	1350 Walton Way	Augusta	GA	30901	100		University Hospital	1350 Walton Way	Augusta	GA	30901
Crisp Regional Hospital	902 North 7th Street	Cordele	GA	31015	100		Crisp Regional Hospital	902 N 7th St	Cordele	GA	31015
South Georgia Medical Center	2501 North Patterson Street	Valdosta	GA	31602	100		South Georgia Medical Center	2501 N Patterson St	Valdosta	GA	31602
Adventist Health Castle Medical Center	640 Ulukahiki Street	Kailua	HI	96734	100		Castle Medical Center	640 Ulukahiki St	Kailua	HI	96734
Burgess Memorial Hospital	1600 Diamond Street	Onawa	IA	51040	100		Burgess Health Center	1600 Diamond St	Onawa	IA	51040
Montgomery County Memorial Hospital	2301 Eastern Avenue PO Box 498	Red Oak	IA	51566	100		Montgomery County Memorial Hospital	2301 Eastern Ave	Red Oak	IA	51566
Trinity Health Mercy Health Network Mercy Medical Center Dubuque	250 Mercy Drive	Dubuque	IA	52001	100		Mercy Medical Center - Dubuque	250 Mercy Dr	Dubuque	IA	52001
St Lukes Health Wood River Medical Center	100 Hospital Drive PO Box 100	Ketchum	ID	83340	100		St Lukes Wood River Medical Center	100 Hospital Dr	Ketchum	ID	83340
St Lukes Health McCall Memorial Hospital	1000 State Street	McCall	ID	83638	100		McCall Memorial Hospital	1000 State St	McCall	ID	83638
Community Health Systems Vista Medical Center East	1324 North Sheridan Road	Waukegan	IL	60085	100		Vista Medical Center East	1324 N Sheridan Rd	Waukegan	IL	60085
Presence Saint Joseph Hospital Elgin	77 North Airlite Street	Elgin	IL	60123	100		Presence Saint Joseph Hospital Elgi	77 N Airlite St	Elgin	IL	60123
Alexian Brothers Health System St Alexius Medical Center	1555 Barrington Road	Hoffman Estates	IL	60169	100		St Alexius Medical Center	1555 Barrington Rd	Hoffman Estates	IL	60169
Presence Saint Francis Hospital	355 Ridge Avenue	Evanston	IL	60202	100		Presence Saint Francis Hospital	355 Ridge Ave	Evanston	IL	60202
Morris Hospital	150 West High Street	Morris	IL	60450	100		Morris Hospital and Healthcare Cent	150 W High St	Morris	IL	60450
Rush Copley Medical Center	2000 Ogden Avenue	Aurora	IL	60504	100		Rush - Copley Medical Center	2000 Ogden Ave	Aurora	IL	60504
Presence Mercy Medical Center	1325 North Highland Avenue	Aurora	IL	60506	100		Presence Mercy Medical Center	1325 N Highland Ave	Aurora	IL	60506
Edward Hospital and Health Services	801 South Washington Street	Naperville	IL	60540	100		Edward Hospital	801 S Washington St	Naperville	IL	60540
University of Illinois Medical Center	1740 West Taylor Street	Chicago	IL	60612	100		University of Illinois Medical Cent	1740 W Taylor St	Chicago	IL	60612
Presence Saint Joseph Hospital Chicago	2900 North Lake Shore Drive	Chicago	IL	60657	100		Presence Saint Joseph Hospital Chic	2900 N Lake Shore Dr	Chicago	IL	60657
Katherine Shaw Bethea Hospital	403 East 1st Street	Dixon	IL	61021	100		Katherine Shaw Bethea Hospital	403 E 1st St	Dixon	IL	61021
St Margarets Health St Margarets Hospital	600 East 1st Street	Spring Valley	IL	61362	100		St Margarets Hospital	600 E 1st St	Spring Valley	IL	61362
Sarah Bush Lincoln Health System	1000 Health Center Drive	Mattoon	IL	61938	100		Sarah Bush Lincoln Health Center	1000 Health Center Dr	Mattoon	IL	61938
Indiana University Health Tipton Hospital	1000 South Main Street	Tipton	IN	46072	100		Indiana University Health Tipton Ho	1000 S Main St	Tipton	IN	46072
St Catherine Hospital	4321 Fir Street	East Chicago	IN	46312	100		St Catherine Hospital	4321 Fir St	East Chicago	IN	46312
Dearborn County Hospital	600 Wilson Creek Road	Lawrenceburg	IN	47025	100		Dearborn County Hospital	600 Wilson Creek Rd	Lawrenceburg	IN	47025
Henry County Hospital	1000 North 16th Street	New Castle	IN	47362	100		Henry County Memorial Hospital	1000 N 16th St	New Castle	IN	47362
Jay County Hospital	500 West Votaw Street	Portland	IN	47371	100		Jay County Hospital	500 W Votaw St	Portland	IN	47371
HCA Terre Haute Regional Hospital	3901 South 7th Street	Terre Haute	IN	47802	100		Terre Haute Regional Hospital	3901 S 7th St	Terre Haute	IN	47802
