,Facility,Address,City,State,Zip,Score,Mismatch,Facility.1,Address.1,City.1,State.1,Zip.1,Flag,Str1,Str2
0,ST ELIAS SPECIALTY HOSPITAL,4800 CORDOVA ST,ANCHORAGE,AK,99503,100.0,,St Elias Specialty Hospital,4800 Cordova St,Anchorage,AK,99503,y,"ST ELIAS SPECIALTY HOSPITAL, 4800 CORDOVA ST, ANCHORAGE, AK, 99503","St Elias Specialty Hospital, 4800 Cordova St, Anchorage, AK, 99503"
1,ALASKA REGIONAL HOSPITAL,2801 DEBARR RD,ANCHORAGE,AK,99508,100.0,,Alaska Regional Hospital,2801 Debarr Rd,Anchorage,AK,99508,y,"ALASKA REGIONAL HOSPITAL, 2801 DEBARR RD, ANCHORAGE, AK, 99508","Alaska Regional Hospital, 2801 Debarr Rd, Anchorage, AK, 99508"
2,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DR,ANCHORAGE,AK,99508,100.0,,Providence Alaska Medical Center,3200 Providence Dr,Anchorage,AK,99508,y,"PROVIDENCE ALASKA MEDICAL CENTER, 3200 PROVIDENCE DR, ANCHORAGE, AK, 99508","Providence Alaska Medical Center, 3200 Providence Dr, Anchorage, AK, 99508"
3,KANAKANAK HOSPITAL,6000  KANAKANAK RD,DILLINGHAM,AK,99576,100.0,,Kanakanak Hospital - Bristol Bay Ar,6000 Kanakanak Rd,Dillingham,AK,99576,y,"KANAKANAK HOSPITAL, 6000  KANAKANAK RD, DILLINGHAM, AK, 99576","Kanakanak Hospital - Bristol Bay Ar, 6000 Kanakanak Rd, Dillingham, AK, 99576"
4,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,AK,99603,100.0,,South Peninsula Hospital,4300 Bartlett St,Homer,AK,99603,y,"SOUTH PENINSULA HOSPITAL, 4300 BARTLETT ST, HOMER, AK, 99603","South Peninsula Hospital, 4300 Bartlett St, Homer, AK, 99603"
5,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES ST,FAIRBANKS,AK,99701,100.0,,Fairbanks Memorial Hospital - Denal,1650 Cowles St,Fairbanks,AK,99701,y,"FAIRBANKS MEMORIAL HOSPITAL, 1650 COWLES ST, FAIRBANKS, AK, 99701","Fairbanks Memorial Hospital - Denal, 1650 Cowles St, Fairbanks, AK, 99701"
6,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,100.0,,Bartlett Regional Hospital,3260 Hospital Dr,Juneau,AK,99801,y,"BARTLETT REGIONAL HOSPITAL, 3260 HOSPITAL DR, JUNEAU, AK, 99801","Bartlett Regional Hospital, 3260 Hospital Dr, Juneau, AK, 99801"
7,PETERSBURG MEDICAL CENTER,103 FRAM ST,PETERSBURG,AK,99833,100.0,,Petersburg Medical Center,103 Fram St,Petersburg,AK,99833,y,"PETERSBURG MEDICAL CENTER, 103 FRAM ST, PETERSBURG, AK, 99833","Petersburg Medical Center, 103 Fram St, Petersburg, AK, 99833"
9,WRANGELL MEDICAL CENTER,310 BENNETT ST,WRANGELL,AK,99929,100.0,,Wrangell Medical Center,310 Bennett St,Wrangell,AK,99929,y,"WRANGELL MEDICAL CENTER, 310 BENNETT ST, WRANGELL, AK, 99929","Wrangell Medical Center, 310 Bennett St, Wrangell, AK, 99929"
10,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,Alexander City,AL,35010,100.0,,Russell Medical Center,3316 Highway 280,Alexander City,AL,35010,y,"RUSSELL MEDICAL CENTER, 3316 HIGHWAY 280, Alexander City, AL, 35010","Russell Medical Center, 3316 Highway 280, Alexander City, AL, 35010"
11,ST VINCENT HOSPITAL BIRMINGHAM,810 SAINT VINCENTS DR,Birmingham,AL,35205,100.0,,St Vincents Birmingham,810 Saint Vincents Dr,Birmingham,AL,35205,y,"ST VINCENT HOSPITAL BIRMINGHAM, 810 SAINT VINCENTS DR, Birmingham, AL, 35205","St Vincents Birmingham, 810 Saint Vincents Dr, Birmingham, AL, 35205"
12,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR DR,Birmingham,AL,35209,100.0,,Brookwood Medical Center,2010 Brookwood Medical Center Dr,Birmingham,AL,35209,y,"BROOKWOOD MEDICAL CENTER, 2010 BROOKWOOD MEDICAL CTR DR, Birmingham, AL, 35209","Brookwood Medical Center, 2010 Brookwood Medical Center Dr, Birmingham, AL, 35209"
14,COOPER GREEN HOSP,1515 6TH AVE S,Birmingham,AL,35233,100.0,,Cooper Green Hospital,1515 6th Ave S,Birmingham,AL,35233,y,"COOPER GREEN HOSP, 1515 6TH AVE S, Birmingham, AL, 35233","Cooper Green Hospital, 1515 6th Ave S, Birmingham, AL, 35233"
15,CHILDRENS HOSPITAL,1600 7TH AVE S,Birmingham,AL,35233,100.0,,Childrens Hospital of Alabama,1600 7th Ave S,Birmingham,AL,35233,y,"CHILDRENS HOSPITAL, 1600 7TH AVE S, Birmingham, AL, 35233","Childrens Hospital of Alabama, 1600 7th Ave S, Birmingham, AL, 35233"
16,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DR,CARROLLTON,AL,35447,100.0,,Pickens County Medical Center,241 Robert K Wilson Dr,Carrollton,AL,35447,y,"PICKENS COUNTY MEDICAL CENTER, 241 ROBERT K WILSON DR, CARROLLTON, AL, 35447","Pickens County Medical Center, 241 Robert K Wilson Dr, Carrollton, AL, 35447"
18,FAYETTE MEDICAL CENTER,1653 TEMPLE AVE N,FAYETTE,AL,35555,100.0,,Fayette Medical Center,1653 Temple Ave N,Fayette,AL,35555,y,"FAYETTE MEDICAL CENTER, 1653 TEMPLE AVE N, FAYETTE, AL, 35555","Fayette Medical Center, 1653 Temple Ave N, Fayette, AL, 35555"
19,HELEN KELLER HOSPITAL,1300 S MONTGOMERY AVE,SHEFFIELD,AL,35660,100.0,,Helen Keller Hospital,1300 S Montgomery Ave,Sheffield,AL,35660,y,"HELEN KELLER HOSPITAL, 1300 S MONTGOMERY AVE, SHEFFIELD, AL, 35660","Helen Keller Hospital, 1300 S Montgomery Ave, Sheffield, AL, 35660"
20,HUNTSVILLE HOSPITAL,101 SIVLEY RD SW,HUNTSVILLE,AL,35801,100.0,,Huntsville Hospital,101 Sivley Rd,Huntsville,AL,35801,y,"HUNTSVILLE HOSPITAL, 101 SIVLEY RD SW, HUNTSVILLE, AL, 35801","Huntsville Hospital, 101 Sivley Rd, Huntsville, AL, 35801"
21,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVE,GADSDEN,AL,35903,100.0,,Gadsden Regional Medical Center,1007 Goodyear Ave,Gadsden,AL,35903,y,"GADSDEN REGIONAL MEDICAL CENTER, 1007 GOODYEAR AVE, GADSDEN, AL, 35903","Gadsden Regional Medical Center, 1007 Goodyear Ave, Gadsden, AL, 35903"
22,BAPTIST MEDICAL CENTER SOUTH,2105 E SOUTH BLVD,MONTGOMERY,AL,36116,100.0,,Baptist Medical Center - South,2105 E South Blvd,Montgomery,AL,36116,y,"BAPTIST MEDICAL CENTER SOUTH, 2105 E SOUTH BLVD, MONTGOMERY, AL, 36116","Baptist Medical Center - South, 2105 E South Blvd, Montgomery, AL, 36116"
23,HEALTHSOUTH REHABILITATION HOSPITAL,4465 NARROW LANE RD,MONTGOMERY,AL,36116,100.0,,HealthSouth Rehabilitation Hospital,4465 Narrow Lane Rd,Montgomery,AL,36116,y,"HEALTHSOUTH REHABILITATION HOSPITAL, 4465 NARROW LANE RD, MONTGOMERY, AL, 36116","HealthSouth Rehabilitation Hospital, 4465 Narrow Lane Rd, Montgomery, AL, 36116"
